gate_type,rabi_freq_MHz,relative_intensity_error,gate_infidelity
TO_2photon,4.0,0.0003511191734215131,0.0016864614448207638
TO_2photon,4.0,0.00037649358067924675,0.0016876756316009933
TO_2photon,4.0,0.0004037017258596554,0.0016890138149099343
TO_2photon,4.0,0.0004328761281083057,0.0016905659267961726
TO_2photon,4.0,0.0004641588833612782,0.001692445916938845
TO_2photon,4.0,0.0004977023564332114,0.0016944239667691097
TO_2photon,4.0,0.0005336699231206312,0.0016967439970732023
TO_2photon,4.0,0.0005722367659350221,0.0016993193516863236
TO_2photon,4.0,0.0006135907273413176,0.001702240421599388
TO_2photon,4.0,0.0006579332246575682,0.0017056330331528535
TO_2photon,4.0,0.0007054802310718645,0.001709233975393909
TO_2photon,4.0,0.000756463327554629,0.0017147300743728389
TO_2photon,4.0,0.0008111308307896872,0.00171758445565251
TO_2photon,4.0,0.0008697490026177834,0.0017231746454041685
TO_2photon,4.0,0.0009326033468832199,0.0017295821453253701
TO_2photon,4.0,0.001,0.0017370127884163145
TO_2photon,4.0,0.0010722672220103231,0.0017454851372042945
TO_2photon,4.0,0.0011497569953977356,0.0017550090357106862
TO_2photon,4.0,0.0012328467394420659,0.0017661296961555273
TO_2photon,4.0,0.0013219411484660286,0.0017787515189530145
TO_2photon,4.0,0.0014174741629268048,0.001793338564144542
TO_2photon,4.0,0.0015199110829529332,0.0018097862990561486
TO_2photon,4.0,0.0016297508346206436,0.0018286563862306426
TO_2photon,4.0,0.001747528400007683,0.0018504738790094954
TO_2photon,4.0,0.001873817422860383,0.0018752933723847898
TO_2photon,4.0,0.002009233002565046,0.0019056681427322975
TO_2photon,4.0,0.0021544346900318843,0.0019382256279312227
TO_2photon,4.0,0.0023101297000831605,0.001973546074403476
TO_2photon,4.0,0.0024770763559917113,0.0020181593683487042
TO_2photon,4.0,0.0026560877829466868,0.002067331127091454
TO_2photon,4.0,0.002848035868435802,0.0021231505282878205
TO_2photon,4.0,0.0030538555088334154,0.002188469178915353
TO_2photon,4.0,0.0032745491628777285,0.0022615655082972586
TO_2photon,4.0,0.003511191734215131,0.002346394014149933
TO_2photon,4.0,0.0037649358067924675,0.002443624145135992
TO_2photon,4.0,0.004037017258596558,0.0025541214886724006
TO_2photon,4.0,0.004328761281083062,0.0026834840223171064
TO_2photon,4.0,0.004641588833612782,0.0028304793054794164
TO_2photon,4.0,0.004977023564332114,0.002997837230238054
TO_2photon,4.0,0.005336699231206312,0.0031912246520793275
TO_2photon,4.0,0.00572236765935022,0.003413264098389046
TO_2photon,4.0,0.006135907273413176,0.0036704313707206504
TO_2photon,4.0,0.006579332246575682,0.003960292197721649
TO_2photon,4.0,0.007054802310718645,0.004297516074922125
TO_2photon,4.0,0.007564633275546291,0.004682318597266422
TO_2photon,4.0,0.008111308307896872,0.005122352008598785
TO_2photon,4.0,0.008697490026177835,0.005629106209431356
TO_2photon,4.0,0.0093260334688322,0.006212052075994179
TO_2photon,4.0,0.01,0.006877813269118849
TO_2photon,4.0,0.010722672220103232,0.007642946856124544
TO_2photon,4.0,0.011497569953977356,0.00852073126436148
TO_2photon,4.0,0.012328467394420659,0.009527126306007494
TO_2photon,4.0,0.013219411484660288,0.01068119015596114
TO_2photon,4.0,0.014174741629268049,0.012004390926448005
TO_2photon,4.0,0.01519911082952933,0.01352054377060219
TO_2photon,4.0,0.01629750834620645,0.015258014525693864
TO_2photon,4.0,0.01747528400007685,0.01724767270154759
TO_2photon,4.0,0.018738174228603847,0.019526290150893466
TO_2photon,4.0,0.02009233002565048,0.02213338725294356
TO_2photon,4.0,0.021544346900318846,0.02511603744116986
TO_2photon,4.0,0.023101297000831605,0.028525912782446983
TO_2photon,4.0,0.024770763559917114,0.032421585060583236
TO_2photon,4.0,0.026560877829466867,0.036868705743330676
TO_2photon,4.0,0.02848035868435802,0.041941731140374916
TO_2photon,4.0,0.030538555088334154,0.0477218159184678
TO_2photon,4.0,0.03274549162877728,0.05429992401638606
TO_2photon,4.0,0.03511191734215131,0.061776899620586745
TO_2photon,4.0,0.037649358067924674,0.07026162356521393
TO_2photon,4.0,0.040370172585965536,0.07987298393035003
TO_2photon,4.0,0.04328761281083057,0.09073732381789035
TO_2photon,4.0,0.04641588833612782,0.1029903066725193
TO_2photon,4.0,0.04977023564332114,0.11676465970296934
TO_2photon,4.0,0.05336699231206313,0.13220619101659836
TO_2photon,4.0,0.0572236765935022,0.1494459973869272
TO_2photon,4.0,0.061359072734131756,0.16861043934342246
TO_2photon,4.0,0.06579332246575682,0.1898082657297211
