absorb_at_checkpoints,alignment_nm,curve_rmse_pp,dt_us,id,jitter_nm,joint_rmse_pp,manual,ml_endpoints,ml_vector,model,no_aod_disorder,noise_us,pointing,recoil,rin,seed,shots,slm_pointing,slm_rin,temperature,vs,waist_um
,50.0,"[3.580933169272603, 7.407325296915447, 2.339771673782689, 2.8547922314088843]",0.025,refine3_T20_R5e-09_W1.11,10.0,4.508767031769012,paper_cubic,,True,diffusion,,0.05,1e-24,,5e-09,26091612,1024,0,0,20,0,1.11
,50.0,"[4.433021634727039, 8.0534254532005, 2.7379752783778084, 3.9506998660710417]",0.025,refine3_T20_R5e-09_W1.14,10.0,5.186855511796079,paper_cubic,,True,diffusion,,0.05,1e-24,,5e-09,26091612,1024,0,0,20,0,1.14
,50.0,"[2.93850645846133, 7.139461758923928, 2.4676808493922024, 2.7392563904817044]",0.00625,refinement_seed21,10.0,4.277841417140425,paper_cubic,,True,diffusion,,0.05,1e-24,,5.75e-09,26091621,4096,0,0,19,0,1.11
,50.0,"[4.507446187726007, 9.04434316220335, 2.4481280885257353, 1.4088740342794006]",0.025,refine_lens_T10_R1e-08,10.0,5.246319461137389,paper_cubic,,True,diffusion,,0.05,1e-24,,1e-08,26091612,1024,0,0,10,0.412425,
,50.0,"[7.159228858224632, 9.499736832759778, 1.720181607841637, 0.9890248878450985]",0.025,refine_lens_T13_R8e-09,10.0,6.029858056556199,paper_cubic,,True,diffusion,,0.05,1e-24,,8e-09,26091612,1024,0,0,13,0.412425,
,50.0,"[9.766126798961563, 7.913934709082445, 1.234592841434668, 1.8994154607847105]",0.025,refine_lens_T16_R6e-09,10.0,6.386305540173535,paper_cubic,,True,diffusion,,0.05,1e-24,,6e-09,26091612,1024,0,0,16,0.412425,
,50.0,"[3.101593793237179, 8.544171940811752, 1.368378406468819, 1.567297649185993]",0.0125,selection_T18_R5.75e-09,10.0,4.6623931515058965,paper_cubic,,True,diffusion,,0.05,1e-24,,5.75e-09,26091612,2048,0,0,18,0,1.11
,50.0,"[2.561361515074012, 7.353950724871389, 3.8800753242381356, 3.5903566688127606]",0.0125,selection_T18_R6.5e-09,10.0,4.70602830436103,paper_cubic,,True,diffusion,,0.05,1e-24,,6.5e-09,26091612,2048,0,0,18,0,1.11
,50.0,"[2.251003811033431, 6.856806621700745, 2.713620738322633, 3.3733453266856652]",0.0125,selection_T19_R5.75e-09,10.0,4.207909558474757,paper_cubic,,True,diffusion,,0.05,1e-24,,5.75e-09,26091612,2048,0,0,19,0,1.11
,50.0,"[2.163216126466272, 5.390877320385176, 5.833267312985633, 4.370375913937336]",0.0125,selection_T19_R6.5e-09,10.0,4.660157064604079,paper_cubic,,True,diffusion,,0.05,1e-24,,6.5e-09,26091612,2048,0,0,19,0,1.11
