group,waveform,n,shots,survivors,survival,wilson95_low,wilson95_high,published_fit
Joint model,manual_600us,12,8192,7618,0.929931640625,0.9242001127679833,0.935260143435358,0.9658976098642174
Joint model,manual_600us,13,8192,7574,0.924560546875,0.9186404308684963,0.9300826727871598,0.961362646759148
Joint model,manual_600us,14,8192,7521,0.9180908203125,0.9119547149585658,0.923835000401015,0.9563860541298348
Joint model,manual_600us,15,8192,7463,0.9110107421875,0.9046508156396316,0.9169853804525461,0.9504226992430214
Joint model,manual_600us,16,8192,7392,0.90234375,0.8957257120045254,0.9085846242947968,0.944329268759075
Joint model,manual_600us,17,8192,7334,0.895263671875,0.8884464013530252,0.9017104156788939,0.9370161811178718
Joint model,manual_600us,18,8192,7261,0.8863525390625,0.8792978374855236,0.8930450673650088,0.9297030934766687
Joint model,manual_600us,19,8192,7214,0.880615234375,0.8734148652170631,0.8874588085029874,0.921737002641002
Joint model,manual_600us,20,8192,7118,0.868896484375,0.8614144769478245,0.8760326821227313,0.9132748420685087
Joint model,manual_600us,21,8192,7063,0.8621826171875,0.8545481090239299,0.8694776093620195,0.9048126814960156
Joint model,manual_600us,22,8192,6998,0.854248046875,0.846440957487745,0.8617230582709423,0.8959860720072557
Joint model,manual_600us,23,8192,6936,0.8466796875,0.8387152138261722,0.8543191778880497,0.8866271076391995
Joint model,manual_600us,24,8192,6866,0.838134765625,0.8300005426154732,0.8459520155001586,0.8772681432711432
Joint model,manual_600us,25,8192,6794,0.829345703125,0.8210451238718068,0.8373375482567038,0.867909178903087
Joint model,manual_600us,26,8192,6703,0.8182373046875,0.8097376414018974,0.8264386470484463,0.8584973288564335
Joint model,manual_600us,27,8192,6645,0.8111572265625,0.8025368014917689,0.8194859676911717,0.8489608984789384
Joint model,manual_600us,28,8192,6560,0.80078125,0.7919919646794072,0.8092885779909599,0.8394244681014434
Joint model,manual_600us,29,8192,6492,0.79248046875,0.7835627032576642,0.801124058202644,0.8298880377239485
Joint model,manual_600us,30,8192,6425,0.7843017578125,0.7752628693538274,0.7930741370906876,0.8203516073464534
Joint model,manual_600us,31,8192,6360,0.7763671875,0.767215763832641,0.785259539984612,0.8108151769689584
Joint model,manual_600us,32,8192,6265,0.7647705078125,0.7554630304120465,0.773829784949977,0.8012787465914635
Joint model,manual_600us,33,8192,6197,0.7564697265625,0.7470564321071199,0.7656426020448449,0.7917423162139684
Joint model,manual_600us,34,8192,6097,0.7442626953125,0.7347023064343713,0.7535941082910363,0.7822058858364734
Joint model,manual_600us,35,8192,6017,0.7344970703125,0.7248260189442551,0.7439483002399069,0.7726694554589784
Joint model,manual_600us,36,8192,5939,0.7249755859375,0.715202409051177,0.7345378669802705,0.7631330250814834
Joint model,manual_600us,37,8192,5882,0.718017578125,0.7081732649596536,0.7276575179986563,0.7535965947039884
Joint model,manual_600us,38,8192,5798,0.707763671875,0.6978197481015965,0.7175128345384053,0.7440601643264934
Joint model,manual_600us,39,8192,5738,0.700439453125,0.6904280922184604,0.7102629187656072,0.7345430125220827
Joint model,manual_600us,40,8192,5654,0.690185546875,0.6800848327624808,0.7001079779032789,0.7258406564018469
Joint model,manual_600us,41,8192,5594,0.682861328125,0.6727003216968143,0.6928509173130112,0.7171383002816111
Joint model,manual_600us,42,8192,5517,0.6734619140625,0.6632277443440772,0.6835334777072993,0.7084359441613753
Joint model,manual_600us,43,8192,5465,0.6671142578125,0.6568333073296333,0.6772385526199334,0.6997335880411396
Joint model,manual_600us,44,8192,5379,0.6566162109375,0.6462624492996023,0.6668231579431254,0.6910312319209039
Joint model,manual_600us,45,8192,5308,0.64794921875,0.6375395478835841,0.658220199566288,0.6829493785903379
Joint model,manual_600us,46,8192,5233,0.6387939453125,0.6283292654641901,0.6491285174157642,0.6748904746341782
Joint model,manual_600us,47,8192,5168,0.630859375,0.6203503326845239,0.6412457475681683,0.6668315706780185
Joint model,manual_600us,48,8192,5095,0.6219482421875,0.6113929888291355,0.63238917924217,0.6587726667218587
Joint model,manual_600us,49,8192,5028,0.61376953125,0.6031751825297038,0.6242572305258085,0.6507137627656991
Joint model,manual_600us,50,8192,4957,0.6051025390625,0.5944701819872354,0.6156363712754213,0.6432418579520525
Joint model,manual_600us,51,8192,4898,0.597900390625,0.587239097672135,0.608469910128853,0.6358297761184506
Joint model,manual_600us,52,8192,4822,0.588623046875,0.5779279860133133,0.5992350310234913,0.6284176942848487
Joint model,manual_600us,53,8192,4762,0.581298828125,0.5705798708094256,0.5919415745714447,0.6210056124512469
Joint model,manual_600us,54,8192,4697,0.5733642578125,0.5626221396306055,0.5840376031230028,0.613593530617645
Joint model,manual_600us,55,8192,4639,0.5662841796875,0.5555237723383002,0.5769824511479049,0.6067210232821612
Joint model,manual_600us,56,8192,4569,0.5577392578125,0.5469597433860687,0.5684646465015464,0.5999432193778713
Joint model,manual_600us,57,8192,4525,0.5523681640625,0.5415782911139507,0.5631089462259792,0.5931654154735814
Joint model,manual_600us,58,8192,4452,0.54345703125,0.5326527706576313,0.5542205545009121,0.5863876115692915
Joint model,manual_600us,59,8192,4394,0.536376953125,0.5255637402390358,0.5471560656521044,0.5796098076650016
Joint model,manual_600us,60,8192,4315,0.5267333984375,0.515911508663129,0.537530227881031,0.5730638864114106
Baseline,ml_400us,0,4096,4096,1.0,0.9990630225926348,0.9999999999999999,
Baseline,ml_400us,1,4096,4092,0.9990234375,0.9974915571936952,0.9996201704329383,
Baseline,ml_400us,2,4096,4080,0.99609375,0.9936637657680687,0.9975940769605611,
Baseline,ml_400us,3,4096,4076,0.9951171875,0.9924697076331114,0.9968368401295172,
Baseline,ml_400us,4,4096,4073,0.994384765625,0.991587789433178,0.9962552871049496,
Baseline,ml_400us,5,4096,4071,0.993896484375,0.9910051126562461,0.995862316398881,0.9855655915260485
Baseline,ml_400us,6,4096,4069,0.993408203125,0.9904260923610462,0.9954656892110803,0.9835379965074582
Baseline,ml_400us,7,4096,4069,0.993408203125,0.9904260923610462,0.9954656892110803,0.9815104014888678
Baseline,ml_400us,8,4096,4067,0.992919921875,0.9898503448988859,0.9950657891902398,0.9794828064702775
Baseline,ml_400us,9,4096,4066,0.99267578125,0.9895635962243474,0.994864714123278,0.9774552114516871
Baseline,ml_400us,10,4096,4063,0.991943359375,0.9887074354065306,0.9942574037165939,0.9754276164330968
Baseline,ml_400us,11,4096,4062,0.99169921875,0.9884233098915096,0.9940537054901146,0.9734000214145064
Baseline,ml_400us,12,4096,4061,0.991455078125,0.9881397703182205,0.9938494213219035,0.9713724263959161
Baseline,ml_400us,13,4096,4059,0.990966796875,0.9875743543279273,0.993439189829196,0.9693448313773259
Baseline,ml_400us,14,4096,4058,0.99072265625,0.987292434466316,0.993233285949307,0.9669722702393174
Baseline,ml_400us,15,4096,4056,0.990234375,0.9867300726317991,0.9928200003008232,0.9638289283267651
Baseline,ml_400us,16,4096,4055,0.989990234375,0.9864495949105299,0.9926126542805922,0.9606855864142128
Baseline,ml_400us,17,4096,4053,0.989501953125,0.9858899643168433,0.9921966373912783,0.9573957749820103
Baseline,ml_400us,18,4096,4049,0.988525390625,0.9847756016627256,0.9913597050793945,0.953257929413509
Baseline,ml_400us,19,4096,4046,0.98779296875,0.983943722660208,0.9907281128574114,0.9491200838450077
Baseline,ml_400us,20,4096,4045,0.987548828125,0.9836671128801424,0.9905168988959765,0.9449822382765063
Baseline,ml_400us,21,4096,4044,0.9873046875,0.9833908284717333,0.9903053595628853,0.9399029981629188
Baseline,ml_400us,22,4096,4043,0.987060546875,0.983114860378963,0.9900935039141554,0.9348097891884123
Baseline,ml_400us,23,4096,4037,0.985595703125,0.9814652366612112,0.9888161851829053,0.9297165802139058
Baseline,ml_400us,24,4096,4034,0.98486328125,0.9806440746636242,0.9881738759559913,0.9238979641542496
Baseline,ml_400us,25,4096,4032,0.984375,0.9800978681444444,0.9877444349921706,0.917927326230651
Baseline,ml_400us,26,4096,4029,0.983642578125,0.9792802999311276,0.9870985319809864,0.9119566883070523
Baseline,ml_400us,27,4096,4028,0.9833984375,0.9790082213211099,0.9868827868495039,0.9059602312435521
Baseline,ml_400us,28,4096,4024,0.982421875,0.9779220041441211,0.9860177090604912,0.8992366013588445
Baseline,ml_400us,29,4096,4021,0.981689453125,0.9771094258840555,0.9853668160960561,0.8925129714741369
Baseline,ml_400us,30,4096,4016,0.98046875,0.9757587986106162,0.9842783246619937,0.8857893415894292
Baseline,ml_400us,31,4096,4014,0.97998046875,0.9752197539009314,0.983841721888678,0.8790657117047216
Baseline,ml_400us,32,4096,4013,0.979736328125,0.9749504777230061,0.9836231743251028,0.8721899280239085
Baseline,ml_400us,33,4096,4009,0.978759765625,0.9738749487182478,0.98274740836386,0.8649465467730186
Baseline,ml_400us,34,4096,4007,0.978271484375,0.9733380928544043,0.9823086167447029,0.8577031655221287
Baseline,ml_400us,35,4096,4004,0.9775390625,0.9725338897863597,0.9816493485882466,0.8504597842712387
Baseline,ml_400us,36,4096,4004,0.9775390625,0.9725338897863597,0.9816493485882466,0.8432164030203487
Baseline,ml_400us,37,4096,4003,0.977294921875,0.9722661011607102,0.9814293134723958,0.8359730217694588
Baseline,ml_400us,38,4096,4001,0.976806640625,0.9717309295309884,0.9809888376191169,0.8287296405185688
Baseline,ml_400us,39,4096,3998,0.97607421875,0.9709291555744165,0.9803271403511878,0.8214868846025843
Baseline,ml_400us,40,4096,3994,0.97509765625,0.969861879182557,0.9794431217770462,0.8142705580379767
Baseline,ml_400us,41,4096,3990,0.97412109375,0.9687965056840521,0.9785572003095498,0.807054231473369
Baseline,ml_400us,42,4096,3987,0.973388671875,0.9679986619577605,0.9778915728113404,0.7998379049087613
Baseline,ml_400us,43,4096,3984,0.97265625,0.9672017903723954,0.9772249731722046,0.7926215783441536
Baseline,ml_400us,44,4096,3979,0.971435546875,0.9658757308170035,0.976111914020095,0.7854052517795459
Baseline,ml_400us,45,4096,3975,0.970458984375,0.9648166459664846,0.9752197039046127,0.7781889252149382
Baseline,ml_400us,46,4096,3971,0.969482421875,0.963759047527144,0.974326007377952,0.7709725986503305
Baseline,ml_400us,47,4096,3965,0.968017578125,0.96217528928926,0.9729828231668342,0.7637562720857228
Baseline,ml_400us,48,4096,3958,0.96630859375,0.960331329020896,0.971412017244696,0.7565399455211151
Baseline,ml_400us,49,4096,3953,0.965087890625,0.9590165375678266,0.9702876899902639,0.7493236189565075
Baseline,ml_400us,50,4096,3948,0.9638671875,0.957703572334836,0.9691615365157528,0.7421072923918998
Baseline,ml_400us,51,4096,3942,0.96240234375,0.9561303013811572,0.9678078650204299,0.7350479755363062
Baseline,ml_400us,52,4096,3938,0.96142578125,0.9550827758957496,0.9669040955398363,0.7283105302725487
Baseline,ml_400us,53,4096,3933,0.960205078125,0.9537747892075905,0.9657729635204937,0.7215730850087911
Baseline,ml_400us,54,4096,3925,0.958251953125,0.9516851324633817,0.9639600303327001,0.7148356397450336
Baseline,ml_400us,55,4096,3922,0.95751953125,0.9509024574310025,0.9632792341405783,0.7080981944812761
Baseline,ml_400us,56,4096,3922,0.95751953125,0.9509024574310025,0.9632792341405783,0.7013607492175186
Baseline,ml_400us,57,4096,3918,0.95654296875,0.9498596607971911,0.9623707358083885,0.694623303953761
Baseline,ml_400us,58,4096,3914,0.95556640625,0.9488177185640135,0.9614613830755648,0.6879097830453751
Baseline,ml_400us,59,4096,3914,0.95556640625,0.9488177185640135,0.9614613830755648,0.681583140911001
Baseline,ml_400us,60,4096,3911,0.954833984375,0.9480368065317946,0.9607788238832828,0.675256498776627
Corrected formulas / controls,ml_400us,0,4096,4096,1.0,0.9990630225926348,0.9999999999999999,
Corrected formulas / controls,ml_400us,1,4096,4092,0.9990234375,0.9974915571936952,0.9996201704329383,
Corrected formulas / controls,ml_400us,2,4096,4080,0.99609375,0.9936637657680687,0.9975940769605611,
Corrected formulas / controls,ml_400us,3,4096,4076,0.9951171875,0.9924697076331114,0.9968368401295172,
