case,waveform,shots,temperature,rin,rmse_pp,early_bias_pp,late_bias_pp,s2,s10,s30,s60
aod_T15_R3e-09,manual_200us,256,15,3e-09,4.817764519805934,3.379153507258729,5.21644341719425,0.9921875,0.82421875,0.39453125,0.16015625
aod_T15_R3e-09,manual_400us,256,15,3e-09,19.216883405911513,5.903750315737808,28.308920222664707,0.99609375,0.98828125,0.88671875,0.765625
aod_T15_R3e-09,manual_600us,256,15,3e-09,11.348084397051444,2.274214290943734,17.28315472791269,1.0,0.99609375,0.93359375,0.79296875
aod_T15_R3e-09,ml_400us,256,15,3e-09,8.51558391325742,1.423107666925679,11.876985106281335,1.0,0.9921875,0.9375,0.8671875
aod_T15_R6e-09,manual_200us,256,15,6e-09,3.7733387670099026,2.3374868405920624,4.43519341719425,0.9921875,0.81640625,0.38671875,0.14453125
aod_T15_R6e-09,manual_400us,256,15,6e-09,14.679729777993971,5.448021149071142,21.668295222664707,1.0,0.984375,0.89453125,0.62890625
aod_T15_R6e-09,manual_600us,256,15,6e-09,4.325012541878161,1.4278601242770674,6.247998477912692,1.0,0.98046875,0.8515625,0.66796875
aod_T15_R6e-09,ml_400us,256,15,6e-09,4.166649788053359,0.44654516692567886,6.212922606281335,1.0,0.98046875,0.92578125,0.7421875
aod_T15_R1e-08,manual_200us,256,15,1e-08,3.918036826970766,2.1421743405920624,4.43519341719425,0.9921875,0.79296875,0.38671875,0.11328125
aod_T15_R1e-08,manual_400us,256,15,1e-08,5.249638953285672,2.713646149071142,7.117513972664708,1.0,0.96484375,0.765625,0.4609375
aod_T15_R1e-08,manual_600us,256,15,1e-08,9.134885510008017,-1.957556542389599,-13.380907772087308,0.99609375,0.95703125,0.734375,0.3984375
aod_T15_R1e-08,ml_400us,256,15,1e-08,6.020402617980001,-0.7253298330743212,-9.216764893718665,1.0,0.9609375,0.828125,0.5546875
aod_T21_R0,manual_200us,256,21,0,6.38209704776444,-6.711992326074605,-0.6429315828057502,0.9375,0.71484375,0.3359375,0.14453125
aod_T21_R0,manual_400us,256,21,0,18.484860610616934,1.3464586490711417,28.015951472664707,0.99609375,0.92578125,0.875,0.7890625
aod_T21_R0,manual_600us,256,21,0,13.895678760848423,0.12577679094373423,20.60346722791269,0.99609375,0.9609375,0.91796875,0.87890625
aod_T21_R0,ml_400us,256,21,0,8.848963766492576,-0.7904339997409878,12.267610106281335,0.984375,0.96484375,0.9296875,0.875
aod_T21_R1e-09,manual_200us,256,21,1e-09,5.810985338115978,-5.995846492741271,-2.9866815828057502,0.94140625,0.71875,0.3125,0.12109375
aod_T21_R1e-09,manual_400us,256,21,1e-09,16.63792409658829,0.2396878157378083,25.086263972664707,0.98828125,0.91796875,0.83203125,0.75390625
aod_T21_R1e-09,manual_600us,256,21,1e-09,12.596806481092862,-0.06953570905626574,18.74799847791269,0.99609375,0.95703125,0.90234375,0.8359375
aod_T21_R1e-09,ml_400us,256,21,1e-09,7.337565869121525,-2.0925173330743214,9.630891356281335,0.98046875,0.94140625,0.9140625,0.8359375
aod_T21_R3e-09,manual_200us,256,21,3e-09,8.093940758423653,-8.469804826074604,-2.5960565828057502,0.94140625,0.6640625,0.31640625,0.09765625
aod_T21_R3e-09,manual_400us,256,21,3e-09,13.420678954674194,0.6954169824044749,20.398763972664707,0.984375,0.9375,0.8359375,0.66015625
aod_T21_R3e-09,manual_600us,256,21,3e-09,6.686390422040163,-1.957556542389599,8.982373477912692,0.9921875,0.9453125,0.83984375,0.71875
aod_T21_R3e-09,ml_400us,256,21,3e-09,4.945419797660811,-3.0690798330743214,4.845735106281335,0.98046875,0.9296875,0.88671875,0.7734375
aod_T21_R6e-09,manual_200us,256,21,6e-09,7.517368964118283,-7.623450659407938,-2.9866815828057502,0.94921875,0.6953125,0.3125,0.1015625
aod_T21_R6e-09,manual_400us,256,21,6e-09,7.223782088529916,-0.9321871842621917,11.121420222664707,0.98828125,0.921875,0.7734375,0.52734375
aod_T21_R6e-09,manual_600us,256,21,6e-09,4.954846600320653,-3.1294315423895993,-6.056689022087308,0.984375,0.9453125,0.75390625,0.5078125
aod_T21_R6e-09,ml_400us,256,21,6e-09,4.176204592482151,-3.1992881664076545,-5.017546143718665,0.98046875,0.9375,0.84375,0.60546875
aod_T21_R1e-08,manual_200us,256,21,1e-08,8.833972921742149,-8.860429826074604,-6.89293158280575,0.94140625,0.66796875,0.2734375,0.078125
aod_T21_R1e-08,manual_400us,256,21,1e-08,4.267742248863619,-4.252499684262192,-3.6246735273352924,0.984375,0.8828125,0.6484375,0.375
aod_T21_R1e-08,manual_600us,256,21,1e-08,12.153485981722355,-6.579952375722932,-16.21293902208731,0.984375,0.9140625,0.671875,0.3828125
aod_T21_R1e-08,ml_400us,256,21,1e-08,12.12908336818238,-5.608142333074321,-17.322233643718665,0.98046875,0.9296875,0.734375,0.46484375
aod_T28_R0,manual_200us,256,28,0,14.710388579923903,-14.850013159407938,-8.455431582805751,0.92578125,0.59375,0.2578125,0.10546875
aod_T28_R0,manual_400us,256,28,0,13.735532071707057,-3.471249684262192,19.812826472664707,0.98046875,0.8671875,0.79296875,0.70703125
aod_T28_R0,manual_600us,256,28,0,10.935590958158967,-3.845577375722933,14.548779727912692,0.98046875,0.91015625,0.85546875,0.8203125
aod_T28_R0,ml_400us,256,28,0,6.687066501376776,-5.868558999740988,4.845735106281335,0.953125,0.9140625,0.859375,0.78515625
aod_T28_R1e-09,manual_200us,256,28,1e-09,16.322433975178345,-16.152096492741272,-12.361681582805751,0.9296875,0.58203125,0.21875,0.10546875
aod_T28_R1e-09,manual_400us,256,28,1e-09,11.385314014235403,-2.8853121842621916,16.590170222664707,0.98046875,0.87890625,0.78125,0.640625
aod_T28_R1e-09,manual_600us,256,28,1e-09,8.212089942248731,-4.171098209056265,9.372998477912692,0.9765625,0.92578125,0.8125,0.7578125
aod_T28_R1e-09,ml_400us,256,28,1e-09,5.417239038418121,-4.761788166407655,2.0137038562813347,0.953125,0.92578125,0.8359375,0.7578125
aod_T28_R3e-09,manual_200us,256,28,3e-09,16.93589465270303,-16.803138159407936,-12.752306582805751,0.92578125,0.578125,0.21484375,0.0859375
aod_T28_R3e-09,manual_400us,256,28,3e-09,6.157616055551498,-4.187395517595525,7.410482722664708,0.97265625,0.87890625,0.71484375,0.515625
aod_T28_R3e-09,manual_600us,256,28,3e-09,6.795576105105998,-7.426306542389599,-3.1270015220873084,0.9765625,0.87890625,0.75390625,0.5703125
aod_T28_R3e-09,ml_400us,256,28,3e-09,6.638769780327573,-7.105538166407655,-4.626921143718665,0.94921875,0.90234375,0.81640625,0.66015625
aod_T28_R6e-09,manual_200us,256,28,6e-09,16.357480611101234,-15.891679826074604,-15.877306582805751,0.91796875,0.58984375,0.18359375,0.0703125
aod_T28_R6e-09,manual_400us,256,28,6e-09,5.461959889901174,-6.140520517595525,-0.6949860273352926,0.96875,0.85546875,0.640625,0.44921875
aod_T28_R6e-09,manual_600us,256,28,6e-09,12.98087562873335,-9.574744042389598,-15.431689022087308,0.98046875,0.85546875,0.66796875,0.41796875
aod_T28_R6e-09,ml_400us,256,28,6e-09,11.91015854839029,-8.602933999740987,-15.076139893718665,0.9453125,0.89453125,0.73828125,0.5234375
aod_T28_R1e-08,manual_200us,256,28,1e-08,19.880834259671744,-18.951575659407936,-19.39293158280575,0.9140625,0.53515625,0.1484375,0.0390625
aod_T28_R1e-08,manual_400us,256,28,1e-08,11.109871215612092,-9.981666350928858,-11.144204777335293,0.97265625,0.828125,0.5625,0.32421875
aod_T28_R1e-08,manual_600us,256,28,1e-08,18.3257887681854,-9.379431542389598,-25.58793902208731,0.9765625,0.87109375,0.6015625,0.29296875
aod_T28_R1e-08,ml_400us,256,28,1e-08,21.58749168609636,-12.378975666407655,-29.724577393718665,0.94921875,0.84765625,0.625,0.35546875
