group,waveform,n,experiment,mc,residual_pp,paper_error_lower,paper_error_upper
Corrected formulas / controls,ml_400us,16,0.9588053612574146,0.984130859375,2.5325498117585443,0.9549729755108716,0.9626517850469848
Corrected formulas / controls,ml_400us,20,0.9403734107621337,0.979248046875,3.8874636112866345,0.9357829706920981,0.9449778888751981
Corrected formulas / controls,ml_400us,30,0.8987365751421792,0.961669921875,6.2933346732820805,0.8929529014147952,0.9045342869125904
Corrected formulas / controls,ml_400us,40,0.8153505995580479,0.93505859375,11.97079941919521,0.8078121704522092,0.8229171047499411
Corrected formulas / controls,ml_400us,50,0.7412016562860975,0.89794921875,15.674756246390253,0.7328209445986016,0.7496385201457039
Corrected formulas / controls,ml_400us,60,0.663381764762422,0.852294921875,18.891315711257796,0.6543482840741408,0.6724152454507031
Joint model,ml_400us,2,0.9899978928648115,0.987060546875,-0.2937345989811546,0.988074680970026,0.9919912949747351
Joint model,ml_400us,4,0.9896329037460929,0.978271484375,-1.1361419371092918,0.9876535396791974,0.9915982297699628
Joint model,ml_400us,8,0.9820383224681444,0.964599609375,-1.7438713093144376,0.979483398637116,0.9846213223852289
Joint model,ml_400us,12,0.9717343988858622,0.94775390625,-2.3980492635862216,0.9684775729034529,0.9749491107391897
Joint model,ml_400us,16,0.9588053612574146,0.9251708984375,-3.3634462819914557,0.9549729755108716,0.9626517850469848
Joint model,ml_400us,20,0.9403734107621337,0.90283203125,-3.7541379512133655,0.9357829706920981,0.9449778888751981
Joint model,ml_400us,30,0.8987365751421792,0.8441162109375,-5.4620364204679195,0.8929529014147952,0.9045342869125904
Joint model,ml_400us,40,0.8153505995580479,0.776611328125,-3.8739271433047895,0.8078121704522092,0.8229171047499411
Joint model,ml_400us,50,0.7412016562860975,0.7047119140625,-3.6489742223597466,0.7328209445986016,0.7496385201457039
Joint model,ml_400us,60,0.663381764762422,0.634765625,-2.8616139762422055,0.6543482840741408,0.6724152454507031
