a1_m_s2,a2_m_s2,c1_um,c2_um,d_aod_uK,d_slm_uK,dd_mode,protocol,pulse_marker,segment,time_us,toggling_y,v1_m_s,v2_m_s,zs1_um,zs2_um
538.6885899768622,538.6885899768622,74.04517149126103,74.04517149126103,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1902.5,1.0,0.3169915777949232,0.3169915777949232,4.793160873876276,4.793160873876276
537.4281562801519,537.4281562801519,74.2037345637405,74.2037345637405,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1903.0,1.0,0.3172606070867278,0.3172606070867278,4.79722880742951,4.79722880742951
536.165199776678,536.165199776678,74.36243199320641,74.36243199320641,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1903.4999999999998,1.0,0.3175290055307355,0.3175290055307355,4.801287202070074,4.801287202070074
534.899726395037,534.899726395037,74.5212634639199,74.5212634639199,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1903.9999999999998,1.0,0.31779677186702476,0.31779677186702476,4.80533603874697,4.80533603874697
533.6317420756417,533.6317420756417,74.68022865951268,74.68022865951268,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1904.5,1.0,0.31806390483864094,0.31806390483864094,4.809375298454056,4.809375298454056
532.361252770691,532.361252770691,74.8393272629888,74.8393272629888,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1905.0,1.0,0.3183304031916028,0.3183304031916028,4.813404962230157,4.813404962230157
531.0882644441438,531.0882644441438,74.99855895672599,74.99855895672599,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1905.4999999999998,1.0,0.3185962656749079,0.3185962656749079,4.817425011159136,4.817425011159136
529.8127830716879,529.8127830716879,75.15792342247738,75.15792342247738,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1906.0,1.0,0.3188614910405392,0.3188614910405392,4.821435426369996,4.821435426369996
528.5348146407159,528.5348146407159,75.31742034137275,75.31742034137275,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1906.5,1.0,0.3191260780434699,0.3191260780434699,4.825436189036959,4.825436189036959
527.2543651502954,527.2543651502954,75.47704939392004,75.47704939392004,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1906.9999999999998,1.0,0.3193900254416699,0.3193900254416699,4.829427280379557,4.829427280379557
525.9714406111386,525.9714406111386,75.63681026000707,75.63681026000707,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1907.5,1.0,0.3196533319961119,0.3196533319961119,4.833408681662726,4.833408681662726
524.6860470455773,524.6860470455773,75.79670261890287,75.79670261890287,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1908.0,1.0,0.3199159964707766,0.3199159964707766,4.837380374196888,4.837380374196888
523.3981904875347,523.3981904875347,75.95672614925904,75.95672614925904,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1908.4999999999998,1.0,0.32017801763265863,0.32017801763265863,4.841342339338034,4.841342339338034
522.107876982494,522.107876982494,76.11688052911168,76.11688052911168,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1909.0,1.0,0.32043939425177287,0.32043939425177287,4.845294558487828,4.845294558487828
520.8151125874721,520.8151125874721,76.27716543588252,76.27716543588252,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1909.5,1.0,0.32070012510115947,0.32070012510115947,4.849237013093675,4.849237013093675
519.519903370992,519.519903370992,76.43758054638053,76.43758054638053,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1909.9999999999998,1.0,0.32096020895689,0.32096020895689,4.853169684648819,4.853169684648819
518.2222554130515,518.2222554130515,76.59812553680364,76.59812553680364,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1910.4999999999998,1.0,0.3212196445980735,0.3212196445980735,4.857092554692435,4.857092554692435
516.9221748050987,516.9221748050987,76.75880008273988,76.75880008273988,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1911.0,1.0,0.32147843080686134,0.32147843080686134,4.8610056048096935,4.8610056048096935
515.619667649999,515.619667649999,76.9196038591693,76.9196038591693,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1911.5,1.0,0.32173656636845405,0.32173656636845405,4.864908816631878,4.864908816631878
514.3147400620102,514.3147400620102,77.08053654046515,77.08053654046515,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1911.9999999999998,1.0,0.3219940500711058,0.3219940500711058,4.868802171836443,4.868802171836443
513.0073981667506,513.0073981667506,77.24159780039577,77.24159780039577,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1912.5,1.0,0.3222508807061314,0.3222508807061314,4.872685652147122,4.872685652147122
511.69764810117243,511.69764810117243,77.40278731212577,77.40278731212577,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1913.0,1.0,0.32250705706791083,0.32250705706791083,4.876559239333996,4.876559239333996
510.3854960135333,510.3854960135333,77.56410474821766,77.56410474821766,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1913.4999999999998,1.0,0.32276257795389546,0.32276257795389546,4.880422915213586,4.880422915213586
509.070948063365,509.070948063365,77.72554978063373,77.72554978063373,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1914.0,1.0,0.32301744216461387,0.32301744216461387,4.884276661648947,4.884276661648947
507.7540104214466,507.7540104214466,77.88712208073702,77.88712208073702,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1914.5,1.0,0.32327164850367685,0.32327164850367685,4.888120460549739,4.888120460549739
506.43468926977596,506.43468926977596,78.0488213192932,78.0488213192932,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1914.9999999999998,1.0,0.3235251957777836,0.3235251957777836,4.891954293872316,4.891954293872316
505.1129908015373,505.1129908015373,78.21064716647226,78.21064716647226,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1915.4999999999998,1.0,0.32377808279672715,0.32377808279672715,4.895778143619818,4.895778143619818
503.7889212210767,503.7889212210767,78.37259929184958,78.37259929184958,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1916.0,1.0,0.32403030837339974,0.32403030837339974,4.899591991842247,4.899591991842247
502.46248674386976,502.46248674386976,78.53467736440797,78.53467736440797,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1916.5,1.0,0.3242818713237987,0.3242818713237987,4.903395820636553,4.903395820636553
501.1336935964941,501.1336935964941,78.69688105253883,78.69688105253883,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1916.9999999999998,1.0,0.32453277046703183,0.32453277046703183,4.907189612146724,4.907189612146724
499.8025480165985,499.8025480165985,78.8592100240441,78.8592100240441,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1917.5,1.0,0.324783004625323,0.324783004625323,4.910973348563862,4.910973348563862
498.4690562528745,498.4690562528745,79.02166394613758,79.02166394613758,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1918.0,1.0,0.3250325726240178,0.3250325726240178,4.914747012126272,4.914747012126272
497.1332245650291,497.1332245650291,79.18424248544625,79.18424248544625,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1918.4999999999998,1.0,0.3252814732915885,0.3252814732915885,4.918510585119537,4.918510585119537
495.7950592237506,495.7950592237506,79.34694530801252,79.34694530801252,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1919.0,1.0,0.3255297054596405,0.3255297054596405,4.922264049876617,4.922264049876617
494.4545665106844,494.4545665106844,79.5097720792951,79.5097720792951,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1919.5,1.0,0.3257772679629169,0.3257772679629169,4.926007388777913,4.926007388777913
493.11175271840017,493.11175271840017,79.6727224641709,79.6727224641709,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1919.9999999999998,1.0,0.3260241596393045,0.3260241596393045,4.929740584251366,4.929740584251366
491.76662415036185,491.76662415036185,79.83579612693674,79.83579612693674,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1920.5,1.0,0.32627037932983927,0.32627037932983927,4.9334636187725325,4.9334636187725325
490.4191871209022,490.4191871209022,79.9989927313105,79.9989927313105,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1921.0,1.0,0.3265159258787112,0.3265159258787112,4.937176474864658,4.937176474864658
489.0694479551889,489.0694479551889,80.16231194043301,80.16231194043301,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1921.4999999999998,1.0,0.32676079813327064,0.32676079813327064,4.940879135098777,4.940879135098777
487.71741298919545,487.71741298919545,80.32575341686976,80.32575341686976,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1921.9999999999998,1.0,0.32700499494403296,0.32700499494403296,4.944571582093784,4.944571582093784
486.3630885696738,486.3630885696738,80.48931682261203,80.48931682261203,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1922.5,1.0,0.32724851516468423,0.32724851516468423,4.948253798516514,4.948253798516514
485.00648105412307,485.00648105412307,80.65300181907892,80.65300181907892,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1923.0,1.0,0.32749135765208665,0.32749135765208665,4.951925767081827,4.951925767081827
483.64759681075947,483.64759681075947,80.81680806711856,80.81680806711856,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1923.4999999999998,1.0,0.3277335212662837,0.3277335212662837,4.95558747055269,4.95558747055269
482.2864422184854,482.2864422184854,80.98073522701019,80.98073522701019,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1924.0,1.0,0.32797500487050585,0.32797500487050585,4.959238891740255,4.959238891740255
480.92302366686283,480.92302366686283,81.14478295846516,81.14478295846516,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1924.5,1.0,0.3282158073311756,0.3282158073311756,4.962880013503946,4.962880013503946
479.5573475560806,479.5573475560806,81.30895092062896,81.30895092062896,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1924.9999999999998,1.0,0.32845592751791275,0.32845592751791275,4.966510818751525,4.966510818751525
478.18942029692374,478.18942029692374,81.47323877208287,81.47323877208287,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1925.5,1.0,0.3286953643035402,0.3286953643035402,4.970131290439193,4.970131290439193
476.8192483107463,476.8192483107463,81.63764617084502,81.63764617084502,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1926.0,1.0,0.3289341165640885,0.3289341165640885,4.9737414115716545,4.9737414115716545
475.4468380294393,475.4468380294393,81.80217277437258,81.80217277437258,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1926.4999999999998,1.0,0.32917218317880165,0.32917218317880165,4.9773411652021995,4.9773411652021995
474.0721958953997,474.0721958953997,81.96681823956322,81.96681823956322,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1927.0,1.0,0.32940956303014235,0.32940956303014235,4.980930534432788,4.980930534432788
472.6953283615026,472.6953283615026,82.13158222275645,82.13158222275645,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1927.5,1.0,0.3296462550037971,0.3296462550037971,4.984509502414128,4.984509502414128
471.3162418910692,471.3162418910692,82.2964643797355,82.2964643797355,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1927.9999999999998,1.0,0.329882257988681,0.329882257988681,4.988078052345745,4.988078052345745
