time_s,time_us,position_m,displacement_from_center_m,position_um,velocity_m_per_s,acceleration_m_per_s2,kinetic_energy_J,potential_energy_J,total_energy_J,energy_error_J,energy_error_over_depth,abs_energy_error_over_depth
0.00061865,618.65,9.045561628218463e-08,9.045561628218463e-08,0.09045561628218463,-0.016654909170973144,-4574.898628898189,3.060880934042541e-29,-3.819878640630964e-27,-3.7892698312905386e-27,-9.40604103641438e-34,-2.4331313535503906e-07,2.4331313535503906e-07
0.0006187,618.7,8.961715220034985e-08,8.961715220034985e-08,0.08961715220034985,-0.01688261894347342,-4533.492271112825,3.145151249218063e-29,-3.820721370222714e-27,-3.789269857730533e-27,-9.670440983030895e-34,-2.5015256756141746e-07,2.5015256756141746e-07
0.0006187499999999999,618.7499999999999,8.876735438783729e-08,8.876735438783729e-08,0.0887673543878373,-0.017108243698482257,-4491.497929240712,3.229778617060794e-29,-3.82156767048257e-27,-3.789269884311962e-27,-9.936255268034725e-34,-2.5702858552222093e-07,2.5702858552222093e-07
0.0006188,618.8,8.790632783050163e-08,8.790632783050163e-08,0.08790632783050163,-0.01733175414476683,-4448.919922142089,3.3147206870629523e-29,-3.822417117892508e-27,-3.789269911021878e-27,-1.0203354432074879e-33,-2.639378404150843e-07,2.639378404150843e-07
0.00061885,618.85,8.703417897336061e-08,8.703417897336061e-08,0.08703417897336062,-0.017553121209353574,-4405.76266132777,3.3999349085785796e-29,-3.823269286933002e-27,-3.789269937847216e-27,-1.0471607810459479e-33,-2.7087695223818345e-07,2.7087695223818345e-07
0.0006188999999999999,618.8999999999999,8.615101570956627e-08,8.615101570956627e-08,0.08615101570956626,-0.017772316042174413,-4362.030651505808,3.4853785516875103e-29,-3.82412375029167e-27,-3.789269964774795e-27,-1.0740883597727595e-33,-2.7784251148056346e-07,2.7784251148056346e-07
0.00061895,618.9499999999999,8.525694736914317e-08,8.525694736914317e-08,0.08525694736914316,-0.017989310020739453,-4317.728491095847,3.571008728233643e-29,-3.824980079073659e-27,-3.7892699917913226e-27,-1.1011048876347835e-33,-2.848310798645067e-07,2.848310798645067e-07
0.000619,619.0,8.435208470749232e-08,8.435208470749232e-08,0.08435208470749232,-0.018204074754834595,-4272.860872709819,3.656782413028093e-29,-3.8258378430136886e-27,-3.7892700188834074e-27,-1.1281969724338067e-33,-2.9183919312941306e-07,2.9183919312941306e-07
0.00061905,619.05,8.34365398936597e-08,8.34365398936597e-08,0.0834365398936597,-0.018416582091242282,-4227.4325835976715,3.7426564652075073e-29,-3.826696610689633e-27,-3.789270046037558e-27,-1.1553511229614715e-33,-2.98863361402984e-07,2.98863361402984e-07
0.0006190999999999999,619.0999999999999,8.25104264983681e-08,8.25104264983681e-08,0.0825104264983681,-0.018626804118483643,-4181.448506056782,3.8285876497376117e-29,-3.8275559497375696e-27,-3.789270073240193e-27,-1.182553758326319e-33,-3.059000716139188e-07,3.059000716139188e-07
0.00061915,619.15,8.157385948181135e-08,8.157385948181135e-08,0.08157385948181135,-0.01883471317158016,-4134.913617803803,3.9145326590517824e-29,-3.828415427068165e-27,-3.789270100477647e-27,-1.2097912122585769e-33,-3.1294578860546664e-07,3.1294578860546664e-07
0.0006192,619.1999999999999,8.062695518121008e-08,8.062695518121008e-08,0.08062695518121007,-0.019040281836832946,-4087.8329923076785,4.000448134814212e-29,-3.8292746090843195e-27,-3.7892701277361774e-27,-1.237049742437203e-33,-3.199969575481229e-07,3.199969575481229e-07
0.00061925,619.25,7.966983129812805e-08,7.966983129812805e-08,0.07966983129812805,-0.0192434829566177,-4040.2117990825654,4.086290689796996e-29,-3.830133061899939e-27,-3.789270155001969e-27,-1.264315534077209e-33,-3.27050004867589e-07,3.27050004867589e-07
0.0006192999999999999,619.3,7.87026068855483e-08,7.87026068855483e-08,0.07870260688554831,-0.019444289634193253,-3992.0553039395277,4.172016929860222e-29,-3.830990351559749e-27,-3.7892701822611464e-27,-1.2915747114090972e-33,-3.34101341214245e-07,3.34101341214245e-07
0.00061935,619.3499999999999,7.772540233470871e-08,7.772540233470871e-08,0.07772540233470872,-0.019642675238521635,-3943.36886919578,4.257583476023922e-29,-3.831846044260015e-27,-3.789270209499776e-27,-1.3188133412661849e-33,-3.411473623911097e-07,3.411473623911097e-07
0.0006194,619.4,7.673833936169614e-08,7.673833936169614e-08,0.07673833936169613,-0.01983861340909754,-3894.1579538403766,4.342946986620526e-29,-3.832699706570079e-27,-3.789270236703874e-27,-1.3460174388243226e-33,-3.481844508385763e-07,3.481844508385763e-07
0.00061945,619.45,7.574154099379897e-08,7.574154099379897e-08,0.07574154099379897,-0.020032078060784927,-3844.428113655248,4.4280641795162184e-29,-3.8335509056545775e-27,-3.7892702638594155e-27,-1.3731729805162613e-33,-3.5520897897506935e-07,3.5520897897506935e-07
0.0006194999999999999,619.4999999999999,7.473513155561765e-08,7.473513155561765e-08,0.07473513155561766,-0.020223043388658574,-3794.185001290532,4.512891854389402e-29,-3.8343992094962366e-27,-3.7892702909523426e-27,-1.4002659076189758e-33,-3.6221731012500433e-07,3.6221731012500433e-07
0.00061955,619.55,7.371923665493311e-08,7.371923665493311e-08,0.07371923665493312,-0.020411483872848166,-3743.4343662931647,4.597386915054256e-29,-3.8352441871191136e-27,-3.789270317968571e-27,-1.4272821362981725e-33,-3.692058011170763e-07,3.692058011170763e-07
0.0006196,619.6,7.269398316833284e-08,7.269398316833284e-08,0.07269398316833284,-0.02059737428338269,-3692.1820550877787,4.681506391817188e-29,-3.836085408812168e-27,-3.789270344893996e-27,-1.4542075611956133e-33,-3.761708032122195e-07,3.761708032122195e-07
0.00061965,619.65,7.165949922659484e-08,7.165949922659484e-08,0.07165949922659484,-0.02078068968503261,-3640.4340109089544,4.765207463853756e-29,-3.836922446353042e-27,-3.789270371714504e-27,-1.4810280690609473e-33,-3.831086656298563e-07,3.831086656298563e-07
0.0006196999999999999,619.6999999999999,7.061591419982959e-08,7.061591419982959e-08,0.07061591419982959,-0.020961405442147432,-3588.196273683947,4.8484474815934944e-29,-3.837754873231914e-27,-3.7892703984159795e-27,-1.507729544491429e-33,-3.900157370326329e-07,3.900157370326329e-07
0.00061975,619.75,6.95633586823801e-08,6.95633586823801e-08,0.0695633586823801,-0.021139497223486157,-3535.4749798650414,4.931183989099859e-29,-3.838582264875309e-27,-3.78927042498431e-27,-1.5342978749541725e-33,-3.9688836682556347e-07,3.9688836682556347e-07
0.0006198,619.8,6.850196447748096e-08,6.850196447748096e-08,0.06850196447748096,-0.02131494100703805,-3482.27636221074,5.013374746432369e-29,-3.839404198869724e-27,-3.7892704514054e-27,-1.560718965135447e-33,-4.037229088678707e-07,4.037229088678707e-07
