time_s,rf_x_hz,amplitude,slm_digital
0.000265,80840581.4,0.874998093,1
0.0002655,80843175.4,0.874998093,1
0.000266,80845693.1,0.874998093,1
0.0002665,80848210.9,0.874998093,1
0.000267,80850804.9,0.874998093,1
0.0002675,80853322.7,0.874998093,1
0.000268,80855840.4,0.874998093,1
0.0002685,80858358.1,0.874998093,1
0.000269,80860875.9,0.874998093,1
0.0002695,80863393.6,0.874998093,1
0.00027,80865911.3,0.874998093,1
0.0002705,80868429.1,0.874998093,1
0.000271,80870946.8,0.874998093,1
0.0002715,80873464.6,0.874998093,1
0.000272,80875982.3,0.874998093,1
0.0002725,80878500,0.874998093,1
0.000273,80880941.5,0.874998093,1
0.0002735,80883459.2,0.874998093,1
0.000274,80885977,0.874998093,1
0.0002745,80888418.4,0.874998093,1
0.000275,80890936.1,0.874998093,1
0.0002755,80893377.6,0.874998093,1
0.000276,80895895.3,0.874998093,1
0.0002765,80898336.8,0.874998093,1
0.000277,80900778.2,0.874998093,1
0.0002775,80903219.7,0.874998093,1
0.000278,80905661.1,0.874998093,1
0.0002785,80908102.5,0.874998093,1
0.000279,80910544,0.874998093,1
0.0002795,80912985.4,0.874998093,1
0.00028,80915426.9,0.874998093,1
0.0002805,80917792,0.874998093,1
0.000281,80920233.5,0.874998093,1
0.0002815,80922598.6,0.874998093,1
0.000282,80925040.1,0.874998093,1
0.0002825,80927405.2,0.874998093,1
0.000283,80929770.4,0.874998093,1
0.0002835,80932135.5,0.874998093,1
0.000284,80934500.6,0.874998093,1
0.0002845,80936865.8,0.874998093,1
0.000285,80939230.9,0.874998093,1
0.0002855,80941596.1,0.874998093,1
0.000286,80943884.9,0.874998093,1
0.0002865,80946250.1,0.874998093,1
0.000287,80948538.9,0.874998093,1
0.0002875,80950904.1,0.874998093,1
0.000288,80953193,0.874998093,1
0.0002885,80955481.8,0.874998093,1
0.000289,80957770.7,0.874998093,1
0.0002895,80959983.2,0.874998093,1
0.00029,80962272.1,0.874998093,1
0.0002905,80964560.9,0.874998093,1
0.000291,80966773.5,0.874998093,1
0.0002915,80968986,0.874998093,1
0.000292,80971198.6,0.874998093,1
0.0002925,80973411.2,0.874998093,1
0.000293,80975623.7,0.874998093,1
0.0002935,80977836.3,0.874998093,1
0.000294,80980048.8,0.874998093,1
0.0002945,80982185.1,0.874998093,1
0.000295,80984321.4,0.874998093,1
0.0002955,80986533.9,0.874998093,1
0.000296,80988670.2,0.874998093,1
0.0002965,80990806.4,0.874998093,1
0.000297,80992866.4,0.874998093,1
0.0002975,80995002.7,0.874998093,1
0.000298,80997062.6,0.874998093,1
0.0002985,80999198.9,0.874998093,1
0.000299,81001258.9,0.874998093,1
0.0002995,81003318.8,0.874998093,1
0.0003,81005302.5,0.874998093,1
0.0003005,81007362.5,0.874998093,1
0.000301,81009346.2,0.874998093,1
0.0003015,81011406.1,0.874998093,1
0.000302,81013389.8,0.874998093,1
0.0003025,81015373.5,0.874998093,1
0.000303,81017280.8,0.874998093,1
0.0003035,81019264.5,0.874998093,1
0.000304,81021171.9,0.874998093,1
0.0003045,81023155.6,0.874998093,1
0.000305,81025062.9,0.874998093,1
0.0003055,81026894,0.874998093,1
0.000306,81028801.4,0.874998093,1
0.0003065,81030708.8,0.874998093,1
0.000307,81032539.9,0.874998093,1
0.0003075,81034370.9,0.874998093,1
0.000308,81036202,0.874998093,1
0.0003085,81037956.8,0.874998093,1
0.000309,81039787.9,0.874998093,1
0.0003095,81041542.7,0.874998093,1
0.00031,81043297.5,0.874998093,1
0.0003105,81045052.3,0.874998093,1
0.000311,81046807,0.874998093,1
0.0003115,81048485.5,0.874998093,1
0.000312,81050164,0.874998093,1
0.0003125,81051918.8,0.874998093,1
0.000313,81053521,0.874998093,1
0.0003135,81055199.5,0.874998093,1
0.000314,81056801.7,0.874998093,1
0.0003145,81058403.9,0.874998093,1
0.000315,81060006.1,0.874998093,1
0.0003155,81061608.3,0.874998093,1
0.000316,81063134.2,0.874998093,1
0.0003165,81064736.4,0.874998093,1
0.000317,81066262.3,0.874998093,1
0.0003175,81067711.9,0.874998093,1
0.000318,81069237.8,0.874998093,1
0.0003185,81070687.4,0.874998093,1
0.000319,81072137,0.874998093,1
0.0003195,81073586.6,0.874998093,1
0.00032,81075036.2,0.874998093,1
0.0003205,81076409.6,0.874998093,1
0.000321,81077782.9,0.874998093,1
0.0003215,81079156.2,0.874998093,1
0.000322,81080529.5,0.874998093,1
0.0003225,81081826.5,0.874998093,1
0.000323,81083123.5,0.874998093,1
0.0003235,81084420.5,0.874998093,1
0.000324,81085641.3,0.874998093,1
0.0003245,81086862,0.874998093,1
0.000325,81088082.7,0.874998093,1
0.0003255,81089303.4,0.874998093,1
0.000326,81090524.1,0.874998093,1
0.0003265,81091668.6,0.874998093,1
0.000327,81092813,0.874998093,1
0.0003275,81093881.1,0.874998093,1
0.000328,81095025.6,0.874998093,1
0.0003285,81096093.7,0.874998093,1
0.000329,81097161.8,0.874998093,1
0.0003295,81098153.7,0.874998093,1
0.00033,81099221.8,0.874998093,1
0.0003305,81100137.3,0.874998093,1
0.000331,81101129.2,0.874998093,1
0.0003315,81102121,0.874998093,1
0.000332,81103036.5,0.874998093,1
0.0003325,81103875.8,0.874998093,1
0.000333,81104791.3,0.874998093,1
0.0003335,81105630.6,0.874998093,1
0.000334,81106469.8,0.874998093,1
0.0003345,81107309.1,0.874998093,1
0.000335,81108072,0.874998093,1
0.0003355,81108835,0.874998093,1
0.000336,81109521.6,0.874998093,1
0.0003365,81110284.6,0.874998093,1
