time_s,rf_x_hz,amplitude,slm_digital
0.00063515,80500000,0.130373083,1
0.0006352,80500000,0.130174716,1
0.00063525,80500000,0.129976349,1
0.0006353,80500000,0.129777981,1
0.00063535,80500000,0.129579614,1
0.0006354,80500000,0.129381247,1
0.00063545,80500000,0.129182879,1
0.0006355,80500000,0.128969253,1
0.00063555,80500000,0.128770886,1
0.0006356,80500000,0.128572519,1
0.00063565,80500000,0.128374151,1
0.0006357,80500000,0.128175784,1
0.00063575,80500000,0.127977417,1
0.0006358,80500000,0.127779049,1
0.00063585,80500000,0.127580682,1
0.0006359,80500000,0.127382315,1
0.00063595,80500000,0.127183948,1
0.000636,80500000,0.12698558,1
0.00063605,80500000,0.126787213,1
0.0006361,80500000,0.126588846,1
0.00063615,80500000,0.126390478,1
0.0006362,80500000,0.126192111,1
0.00063625,80500000,0.125993744,1
0.0006363,80500000,0.125795377,1
0.00063635,80500000,0.125597009,1
0.0006364,80500000,0.125398642,1
0.00063645,80500000,0.125200275,1
0.0006365,80500000,0.125001907,1
0.00063655,80500000,0.12480354,1
0.0006366,80500000,0.124620432,1
0.00063665,80500000,0.124422065,1
0.0006367,80500000,0.124223697,1
0.00063675,80500000,0.12402533,1
0.0006368,80500000,0.123826963,1
0.00063685,80500000,0.123628595,1
0.0006369,80500000,0.123430228,1
0.00063695,80500000,0.12324712,1
0.000637,80500000,0.123048753,1
0.00063705,80500000,0.122850385,1
0.0006371,80500000,0.122652018,1
0.00063715,80500000,0.12246891,1
0.0006372,80500000,0.122270542,1
0.00063725,80500000,0.122072175,1
0.0006373,80500000,0.121873808,1
0.00063735,80500000,0.1216907,1
0.0006374,80500000,0.121492332,1
0.00063745,80500000,0.121293965,1
0.0006375,80500000,0.121095598,1
0.00063755,80500000,0.12091249,1
0.0006376,80500000,0.120714122,1
0.00063765,80500000,0.120515755,1
0.0006377,80500000,0.120332647,1
0.00063775,80500000,0.120134279,1
0.0006378,80500000,0.119935912,1
0.00063785,80500000,0.119752804,1
0.0006379,80500000,0.119554437,1
0.00063795,80500000,0.119371328,1
0.000638,80500000,0.119172961,1
0.00063805,80500000,0.118974594,1
0.0006381,80500000,0.118791485,1
0.00063815,80500000,0.118593118,1
0.0006382,80500000,0.11841001,1
0.00063825,80500000,0.118211643,1
0.0006383,80500000,0.118028534,1
0.00063835,80500000,0.117830167,1
