experiment,structure,temperature_uK,target,duration_us,dt_ns,v_avg_mm_per_s,v_peak_mm_per_s,v_rms_mm_per_s,eta_peak,step_displacement_frac,move_duration_us,shots,captured,capture_rate,wilson_low,wilson_high,follow_loss_rate,exc_move_end_median,exc_move_end_q90,margin_q10,failure_follow_loss,failure_ramp_excitation,failure_handoff,work_residual_median_over_depth,status,error
end_to_end,trapezoid_frozen_ramp,10.0,220,219.99999999999997,50.0,11.125543925497567,15.89363417928224,12.667692373908736,0.06004384669131949,0.0006792151358667623,215.71979006794177,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.0053768719920586,1.036358407562082,0.8708228649109455,0,0,0,1.5487969630328094e-06,ok,
end_to_end,trapezoid_frozen_ramp,10.0,160,160.0,50.0,15.297622897559155,21.85374699651308,17.418077014124513,0.08256028920056431,0.0009339208118167984,156.8871200494122,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.0046653861024415,1.0359048643027997,0.8703730157415887,0,0,0,2.056998653121748e-06,ok,
end_to_end,trapezoid_frozen_ramp,10.0,120,119.99999999999999,50.0,20.396830530078873,29.138329328684105,23.22410268549935,0.11008038560075241,0.0012452277490890644,117.66534003705914,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.0118737128267397,1.072491508273221,0.7965973933801621,0,0,0,2.3847511263741564e-06,ok,
end_to_end,trapezoid_frozen_ramp,10.0,90,89.99999999999999,44.11764705882353,27.195774040105164,38.8511057715788,30.965470247332462,0.14677384746766986,0.0014649738224577229,88.24900502779435,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.008460425751791,1.0359781411007332,0.8692077967370548,0,0,0,3.1594055253633994e-06,ok,
end_to_end,trapezoid_frozen_ramp,10.0,65,65.0,31.862745098039213,37.6556871324533,53.793838760647574,42.875266496306494,0.20322532726292752,0.0014649738224577226,63.73539252007371,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.0069761276169675,1.0437997355244915,0.7607122600327881,0,0,0,2.1112488620217986e-06,ok,
end_to_end,trapezoid_frozen_ramp,10.0,45,44.99999999999999,22.058823529411764,54.39154808021033,77.7022115431576,61.930940494664924,0.2935476949353397,0.0014649738224577229,44.12450251389718,300,299,0.9966666666666667,0.9813633063054688,0.9994113422781488,1.0,1.05152115884371,1.118313078951842,0.6006928869096273,0,0,1,2.111525285927843e-06,ok,
end_to_end,trapezoid_frozen_ramp,10.0,32,32.0,15.686274509803923,76.48811448779576,109.26873498256538,87.09038507062256,0.4128014460028215,0.0014649738224577229,31.377424009882443,300,7,0.023333333333333334,0.011347660299125234,0.04737197226827532,1.0,1.6691078749297197,2.245141064108994,-2.4683026492786864,0,0,293,4.571888118777014e-06,ok,
end_to_end,trapezoid_frozen_ramp,10.0,25,,,,,,,,,,,,,,,,,,,,,,skipped_early_stop,
end_to_end,trapezoid_frozen_ramp,10.0,20,,,,,,,,,,,,,,,,,,,,,,skipped_early_stop,
end_to_end,sequential_scaled,20.0,600,600.0,50.0,7.692307692307692,11.538461538461537,8.428527216546629,0.04359063558743358,0.0004930966469428008,312.0,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.0122845893606756,1.0721007726562395,0.7576267897397627,0,0,0,0.00034547965709604824,ok,
