distance_um,duration_us,trajectory,protocol,tau_us,rin,repeat,seed,noise_us,dt_coarse,dt_fine,survival_difference,paired_SE,label_disagreement,energy_KS,median_energy_difference_uK
510.0,3000.0,min_jerk,A,5.0,0.0,10,26091773,0.2,0.05,0.025,0.0,0.0,0.0,0.00634765625,0.016071968774075684
510.0,3000.0,min_jerk,A,5.0,0.0,50,26091773,0.2,0.1,0.05,0.0,0.0,0.0,0.008793356130923247,-0.21251499199731566
510.0,3000.0,min_jerk,A,5.0,0.0,50,26091773,0.2,0.05,0.025,-0.00048828125,0.00048828125,0.00048828125,0.010562570606375221,0.32071705561811514
510.0,3000.0,rb_cubic,A,5.0,0.0,1,26091773,0.2,0.1,0.05,0.0,0.0,0.0,0.00244140625,0.0021530059538759894
510.0,3000.0,rb_cubic,A,5.0,0.0,1,26091773,0.2,0.05,0.025,0.0,0.0,0.0,0.00244140625,-0.0776320399132906
510.0,3000.0,rb_cubic,A,5.0,0.0,10,26091773,0.2,0.1,0.05,0.0,0.0,0.0,0.01318359375,0.16126954640632585
510.0,3000.0,rb_cubic,A,5.0,0.0,10,26091773,0.2,0.05,0.025,0.0,0.0,0.0,0.01220703125,-0.23776797293752588
510.0,3000.0,rb_cubic,A,5.0,0.0,50,26091773,0.2,0.1,0.05,-0.00048828125,0.0008458656404481253,0.00146484375,0.024610557089243423,-1.3036827532471713
510.0,3000.0,rb_cubic,A,5.0,0.0,50,26091773,0.2,0.05,0.025,0.0,0.0006907026151602111,0.0009765625,0.014655593551538837,-0.19308446653037092
510.0,3000.0,zero_jerk,A,5.0,0.0,1,26091731,0.2,0.1,0.05,0.0,0.0,0.0,0.001953125,0.004378020699471191
510.0,3000.0,zero_jerk,A,5.0,0.0,1,26091731,0.2,0.05,0.025,0.0,0.0,0.0,0.001953125,0.00109591946270609
510.0,3000.0,zero_jerk,A,5.0,0.0,10,26091731,0.2,0.1,0.05,0.0,0.0,0.0,0.01123046875,-0.415401377730599
510.0,3000.0,zero_jerk,A,5.0,0.0,10,26091731,0.2,0.05,0.025,0.0,0.0,0.0,0.013671875,0.7184760161959814
510.0,3000.0,zero_jerk,A,5.0,0.0,50,26091731,0.2,0.1,0.05,0.00048828125,0.00048828125,0.00048828125,0.016402147197117745,0.2767788620067086
510.0,3000.0,zero_jerk,A,5.0,0.0,50,26091731,0.2,0.05,0.025,-0.00048828125,0.00048828125,0.00048828125,0.019834666585246685,-0.20977315091581414
510.0,3000.0,zero_jerk,A,5.0,5.75e-09,1,26091731,0.2,0.1,0.05,-0.00048828125,0.00048828125,0.00048828125,0.006642008503297436,-0.006660267475870888
510.0,3000.0,zero_jerk,A,5.0,5.75e-09,1,26091731,0.2,0.05,0.025,0.0,0.0,0.0,0.0048828125,0.1218466064865419
510.0,3000.0,zero_jerk,A,5.0,5.75e-09,10,26091731,0.2,0.1,0.05,-0.00830078125,0.009226231779463532,0.17431640625,0.025498016418898373,-0.34643846466203515
510.0,3000.0,zero_jerk,A,5.0,5.75e-09,10,26091731,0.2,0.05,0.025,0.0,0.008899080684531392,0.162109375,0.030016675931072823,2.2281228031776
510.0,3000.0,zero_jerk,A,5.0,5.75e-09,50,26091731,0.2,0.1,0.05,0.0048828125,0.008486809663923239,0.1474609375,0.09227826918479559,-13.711500443995257
510.0,3000.0,zero_jerk,A,5.0,5.75e-09,50,26091731,0.2,0.05,0.025,-0.01220703125,0.008553213760148927,0.14990234375,0.07314440692976143,-1.6971868291138288
510.0,3000.0,zero_jerk,B,5.0,0.0,1,26091731,0.2,0.1,0.05,0.0009765625,0.0006903652756455057,0.0009765625,0.003996151145952198,0.010885804366235393
510.0,3000.0,zero_jerk,B,5.0,0.0,1,26091731,0.2,0.05,0.025,0.0,0.0006907026151602111,0.0009765625,0.003913894324853229,0.0003041865551372112
510.0,3000.0,zero_jerk,B,5.0,0.0,10,26091731,0.2,0.1,0.05,0.00146484375,0.002719106165708644,0.01513671875,0.012644717075613321,-0.174428477263026
510.0,3000.0,zero_jerk,B,5.0,0.0,10,26091731,0.2,0.05,0.025,0.00146484375,0.002537596921344376,0.01318359375,0.015346992404353887,-0.026238345363081342
510.0,3000.0,zero_jerk,B,5.0,0.0,50,26091731,0.2,0.1,0.05,0.005859375,0.004311491853776705,0.0380859375,0.019076728469868465,0.14929065568359223
510.0,3000.0,zero_jerk,B,5.0,0.0,50,26091731,0.2,0.05,0.025,-0.00341796875,0.004340341221011764,0.03857421875,0.020343716757153185,-0.5149278944422081
510.0,3000.0,zero_jerk,B,5.0,5.75e-09,1,26091731,0.2,0.1,0.05,0.0009765625,0.002392566685026312,0.01171875,0.010615101926048975,0.2421795760970595
510.0,3000.0,zero_jerk,B,5.0,5.75e-09,1,26091731,0.2,0.05,0.025,0.0009765625,0.00207199542338547,0.0087890625,0.007631101854231326,-0.25317716046803324
510.0,3000.0,zero_jerk,B,5.0,5.75e-09,10,26091731,0.2,0.1,0.05,0.0107421875,0.012040470864782816,0.296875,0.0456228644484411,0.7185819608750369
510.0,3000.0,zero_jerk,B,5.0,5.75e-09,10,26091731,0.2,0.05,0.025,0.005859375,0.011536281317070074,0.2724609375,0.03764503701917066,-1.865656090375988
510.0,3000.0,zero_jerk,B,5.0,5.75e-09,50,26091731,0.2,0.1,0.05,0.00439453125,0.006272866108564016,0.08056640625,0.07418023389130934,2.824705904251165
510.0,3000.0,zero_jerk,B,5.0,5.75e-09,50,26091731,0.2,0.05,0.025,0.001953125,0.006216173642574128,0.0791015625,0.09927296761401189,6.395498326103962
510.0,6000.0,zero_jerk,A,5.0,0.0,1,26091731,0.2,0.1,0.05,0.0,0.0,0.0,0.00146484375,0.00031491294873543476
510.0,6000.0,zero_jerk,A,5.0,0.0,1,26091731,0.2,0.05,0.025,0.0,0.0,0.0,0.00146484375,7.622534928046673e-05
510.0,6000.0,zero_jerk,A,5.0,0.0,10,26091731,0.2,0.1,0.05,0.0,0.0,0.0,0.0078125,-0.03590814797183616
510.0,6000.0,zero_jerk,A,5.0,0.0,10,26091731,0.2,0.05,0.025,0.0,0.0,0.0,0.00634765625,-0.2504816881622174
510.0,6000.0,zero_jerk,A,5.0,0.0,50,26091731,0.2,0.1,0.05,0.0,0.0,0.0,0.009765625,-0.06610749171205012
510.0,6000.0,zero_jerk,A,5.0,0.0,50,26091731,0.2,0.05,0.025,0.0,0.0,0.0,0.0107421875,0.47343995655035104
510.0,6000.0,zero_jerk,A,5.0,5.75e-09,1,26091731,0.2,0.1,0.05,0.0,0.0013814052303204223,0.00390625,0.017123287671232834,0.07355215621401817
510.0,6000.0,zero_jerk,A,5.0,5.75e-09,1,26091731,0.2,0.05,0.025,-0.00048828125,0.0012921412023726457,0.00341796875,0.012071828094871395,-0.36496789495516907
510.0,6000.0,zero_jerk,A,5.0,5.75e-09,10,26091731,0.2,0.1,0.05,-0.005859375,0.013744198362564151,0.38671875,0.04291833881949769,-2.3498558426699163
510.0,6000.0,zero_jerk,A,5.0,5.75e-09,10,26091731,0.2,0.05,0.025,-0.009765625,0.013568436561454227,0.376953125,0.02511831088460137,3.7369797118860903
510.0,6000.0,zero_jerk,A,5.0,5.75e-09,50,26091731,0.2,0.1,0.05,0.0,0.0011963320223781792,0.0029296875,0.33333333333333337,20.908134360942395
510.0,6000.0,zero_jerk,A,5.0,5.75e-09,50,26091731,0.2,0.05,0.025,-0.00341796875,0.0017593318417432721,0.00634765625,0.33333333333333337,-26.200543362971235
510.0,6000.0,zero_jerk,B,5.0,0.0,1,26091731,0.2,0.1,0.05,0.00048828125,0.0008458656404481253,0.00146484375,0.0034596201242751423,0.003976861748297824
510.0,6000.0,zero_jerk,B,5.0,0.0,1,26091731,0.2,0.05,0.025,-0.00048828125,0.0008458656404481253,0.00146484375,0.00301660100404888,-0.00928191203662408
510.0,6000.0,zero_jerk,B,5.0,0.0,10,26091731,0.2,0.1,0.05,0.00146484375,0.002441787876255286,0.01220703125,0.01802333169729231,0.48638181265015407
510.0,6000.0,zero_jerk,B,5.0,0.0,10,26091731,0.2,0.05,0.025,-0.00244140625,0.00244140625,0.01220703125,0.015621459837295681,-0.37231348329576786
510.0,6000.0,zero_jerk,B,5.0,0.0,50,26091731,0.2,0.1,0.05,-0.00830078125,0.003343274883563095,0.02294921875,0.026311223138533513,-1.0028206244624718
510.0,6000.0,zero_jerk,B,5.0,0.0,50,26091731,0.2,0.05,0.025,0.0,0.0033124933750198747,0.0224609375,0.01754385964912286,0.6249862589102644
510.0,6000.0,zero_jerk,B,5.0,5.75e-09,1,26091731,0.2,0.1,0.05,-0.00390625,0.0038447001131311715,0.0302734375,0.012047247929250493,-0.008948709619884547
510.0,6000.0,zero_jerk,B,5.0,5.75e-09,1,26091731,0.2,0.05,0.025,0.0029296875,0.003906667414037752,0.03125,0.012252011292429255,-0.35955266457780005
510.0,6000.0,zero_jerk,B,5.0,5.75e-09,10,26091731,0.2,0.1,0.05,0.02783203125,0.013316538403780265,0.36376953125,0.03519772238163554,0.15332622581920896
510.0,6000.0,zero_jerk,B,5.0,5.75e-09,10,26091731,0.2,0.05,0.025,-0.02734375,0.013018129655386148,0.34765625,0.031734913793103475,-2.9787005501467396
510.0,6000.0,zero_jerk,B,5.0,5.75e-09,50,26091731,0.2,0.1,0.05,0.0009765625,0.0006903652756455057,0.0009765625,,
510.0,6000.0,zero_jerk,B,5.0,5.75e-09,50,26091731,0.2,0.05,0.025,-0.00146484375,0.0008453146775885285,0.00146484375,,
610.0,750.0,min_jerk,A,0.0,0.0,1,26091771,0.2,0.1,0.05,0.0,0.0,0.0,0.0007380073800737907,-0.002928396555147425
610.0,750.0,min_jerk,A,0.0,0.0,1,26091771,0.2,0.05,0.025,0.0,0.0,0.0,0.0007380073800737907,1.089021051453715e-05
610.0,750.0,zero_jerk,A,0.0,0.0,1,26091771,0.2,0.1,0.05,0.0,0.0,0.0,0.00123183050012321,-0.0041446598612725925
