geometry,path_speed_m_s,focus1_um,focus2_um,axial_minimum_um,actual_depth_uK,axial_frequency_Hz
diagonal,0.39,4.557639867129755,4.557639867129755,4.55566940995117,279.9999192383529,8119.2482158417515
diagonal,0.4,4.67450242782539,4.67450242782539,4.674324880038114,279.9999993443051,8119.255155421487
diagonal,0.41000000000000003,4.791364988521026,4.791364988521026,4.793284192782859,279.9999233850416,8119.248518290071
diagonal,0.42,4.908227549216659,4.908227549216659,4.908387562104918,279.99999946742446,8119.255107885433
diagonal,0.43,5.025090109912293,5.025090109912293,5.023771401572644,279.99996382831506,8119.251978206974
diagonal,0.44,5.141952670607929,5.141952670607929,5.143618869778684,279.9999422535849,8119.250071792818
diagonal,0.45,5.258815231303563,5.258815231303563,5.259575335793816,279.9999879823966,8119.254019956328
diagonal,0.46,5.375677791999198,5.375677791999198,5.375812271954625,279.99999962382805,8119.255003391608
diagonal,0.47000000000000003,5.492540352694833,5.492540352694833,5.492329678261098,279.99999907680177,8119.254925904873
diagonal,0.48,5.6094029133904675,5.6094029133904675,5.609127554713245,279.9999984228652,8119.254839233491
diagonal,0.49,5.7262654740861025,5.7262654740861025,5.726205901311059,279.9999999261812,8119.254940571123
diagonal,0.5,5.843128034781737,5.843128034781737,5.84356471805454,279.999996033528,8119.254572270545
diagonal,0.51,5.959990595477372,5.959990595477372,5.961204004943691,279.9999693743017,8119.252222369716
diagonal,0.52,6.076853156173007,6.076853156173007,6.074847113337318,279.9999162949683,8119.247575076182
diagonal,0.53,6.193715716868642,6.193715716868642,6.193035654261739,279.999990380133,8119.253989263375
diagonal,0.54,6.310578277564276,6.310578277564276,6.311504665331827,279.99998214923284,8119.2532436585725
diagonal,0.55,6.427440838259911,6.427440838259911,6.4259424391381845,279.9999532989939,8119.250702983491
diagonal,0.56,6.544303398955544,6.544303398955544,6.544960704243545,279.99999101319065,8119.253953481111
diagonal,0.5700000000000001,6.661165959651182,6.661165959651182,6.659924359573031,279.99996793474463,8119.251915116946
diagonal,0.58,6.778028520346814,6.778028520346814,6.779491878713657,279.9999554577028,8119.2507992703495
diagonal,0.59,6.8948910810424495,6.8948910810424495,6.894981415566275,279.9999998302621,8119.254628650595
diagonal,0.6,7.011753641738084,7.011753641738084,7.01072805005242,279.99997812136417,8119.252709260741
diagonal,0.61,7.128616202433719,7.128616202433719,7.126731782172096,279.9999261370403,8119.248156385125
diagonal,0.62,7.245478763129355,7.245478763129355,7.247386123127195,279.9999243277734,8119.2479679113185
diagonal,0.63,7.362341323824989,7.362341323824989,7.36391573677,279.99994844052173,8119.250034526278
diagonal,0.64,7.479203884520621,7.479203884520621,7.480702448046338,279.99995328874525,8119.250425296055
diagonal,0.65,7.596066445216259,7.596066445216259,7.597746256956209,279.9999413061735,8119.249351522243
diagonal,0.66,7.712929005911893,7.712929005911893,7.715047163499603,279.9999066772171,8119.246308227212
diagonal,0.67,7.829791566607527,7.829791566607527,7.828153225194292,279.99994416840667,8119.249538287202
diagonal,0.68,7.946654127303162,7.946654127303162,7.945956640748679,279.99998988087515,8119.2534833934305
diagonal,0.6900000000000001,8.0635166879988,8.0635166879988,8.064017153936593,279.9999947902087,8119.253879297785
diagonal,0.7000000000000001,8.180379248694432,8.180379248694432,8.182334764758046,279.9999204584696,8119.247380867684
diagonal,0.71,8.297241809390068,8.297241809390068,8.29641078570651,279.99998563525,8119.25301881395
diagonal,0.72,8.4141043700857,8.4141043700857,8.415230905538941,279.99997360261074,8119.251941530205
diagonal,0.73,8.530966930781334,8.530966930781334,8.529786062986258,279.99997099493766,8119.251681745604
diagonal,0.74,8.647829491476969,8.647829491476969,8.64910869182969,279.999965963227,8119.251212659357
diagonal,0.75,8.764692052172604,8.764692052172604,8.764142985775852,279.9999937292279,8119.253595733221
diagonal,0.76,8.881554612868241,8.881554612868241,8.87941100484341,279.99990442113034,8119.245794944318
diagonal,0.77,8.998417173563876,8.998417173563876,8.999481554075295,279.9999764351282,8119.252027014229
diagonal,0.78,9.11527973425951,9.11527973425951,9.115228709641697,279.99999994584596,8119.254040258835
diagonal,0.79,9.232142294955144,9.232142294955144,9.231209590329497,279.999981904961,8119.252438394493
