axis1_vmax_m_s,axis2_vmax_m_s,barrier_uK,distance_um,duration_us,geometry,min_depth_uK,n_minima_at_peak,path_vmax_m_s,profile,severity,split_fraction,v1_over_vs,v2_over_vs,zs1_peak_over_zr,zs2_peak_over_zr
0.2386485386504598,0.2386485386504598,0.0,270.0,1600.0,diagonal,-280.0,1,0.3375,adiabatic_sine,0.0,0.0,0.0,0.0,0.0,0.0
0.2386485386504598,0.2386485386504598,0.0,270.0,1600.0,diagonal,-279.99946904696213,1,0.3375,adiabatic_sine,0.5,0.0,0.35355339059327373,0.35355339059327373,0.4426229508196722,0.4426229508196722
0.2386485386504598,0.2386485386504598,0.0,270.0,1600.0,diagonal,-279.99999879602257,1,0.3375,adiabatic_sine,0.75,0.0,0.5303300858899106,0.5303300858899106,0.6639344262295082,0.6639344262295082
0.2386485386504598,0.2386485386504598,0.0,270.0,1600.0,diagonal,-279.99956536482404,1,0.3375,adiabatic_sine,1.0,0.0,0.7071067811865475,0.7071067811865475,0.8852459016393444,0.8852459016393444
0.2386485386504598,0.2386485386504598,0.0,270.0,1600.0,diagonal,-279.9994172761388,1,0.3375,adiabatic_sine,1.25,0.0,0.8838834764831843,0.8838834764831843,1.1065573770491803,1.1065573770491803
0.19091883092036782,0.19091883092036782,0.0,270.0,2000.0,diagonal,-280.0,1,0.27,adiabatic_sine,0.0,0.0,0.0,0.0,0.0,0.0
0.19091883092036782,0.19091883092036782,0.0,270.0,2000.0,diagonal,-279.99898745864675,1,0.27,adiabatic_sine,0.5,0.0,0.35355339059327373,0.35355339059327373,0.35409836065573774,0.35409836065573774
0.19091883092036782,0.19091883092036782,0.0,270.0,2000.0,diagonal,-279.9997965279629,1,0.27,adiabatic_sine,0.75,0.0,0.5303300858899106,0.5303300858899106,0.5311475409836066,0.5311475409836066
0.19091883092036782,0.19091883092036782,0.0,270.0,2000.0,diagonal,-279.9999891642035,1,0.27,adiabatic_sine,1.0,0.0,0.7071067811865475,0.7071067811865475,0.7081967213114755,0.7081967213114755
0.19091883092036782,0.19091883092036782,0.0,270.0,2000.0,diagonal,-279.99956536482404,1,0.27,adiabatic_sine,1.25,0.0,0.8838834764831843,0.8838834764831843,0.8852459016393444,0.8852459016393444
1.803122292025696,1.803122292025696,0.0,510.0,400.0,diagonal,-280.0,1,2.55,adiabatic_sine,0.0,0.0,0.0,0.0,0.0,0.0
1.803122292025696,1.803122292025696,0.0,510.0,400.0,diagonal,-279.9999807363625,1,2.55,adiabatic_sine,0.5,0.0,0.35355339059327373,0.35355339059327373,3.3442622950819674,3.3442622950819674
1.803122292025696,1.803122292025696,0.0,510.0,400.0,diagonal,-279.9995767273262,1,2.55,adiabatic_sine,0.75,0.0,0.5303300858899106,0.5303300858899106,5.016393442622951,5.016393442622951
1.803122292025696,1.803122292025696,0.0,510.0,400.0,diagonal,-279.99826146739235,1,2.55,adiabatic_sine,1.0,0.0,0.7071067811865475,0.7071067811865475,6.688524590163935,6.688524590163935
1.803122292025696,1.803122292025696,0.0,510.0,400.0,diagonal,-279.9995062948775,1,2.55,adiabatic_sine,1.25,0.0,0.8838834764831843,0.8838834764831843,8.360655737704917,8.360655737704917
1.2020815280171306,1.2020815280171306,0.0,510.0,600.0,diagonal,-280.0,1,1.7,adiabatic_sine,0.0,0.0,0.0,0.0,0.0,0.0
1.2020815280171306,1.2020815280171306,0.0,510.0,600.0,diagonal,-279.99936309739064,1,1.7,adiabatic_sine,0.5,0.0,0.35355339059327373,0.35355339059327373,2.2295081967213113,2.2295081967213113
1.2020815280171306,1.2020815280171306,0.0,510.0,600.0,diagonal,-279.9999807363625,1,1.7,adiabatic_sine,0.75,0.0,0.5303300858899106,0.5303300858899106,3.3442622950819674,3.3442622950819674
1.2020815280171306,1.2020815280171306,0.0,510.0,600.0,diagonal,-279.99965205095646,1,1.7,adiabatic_sine,1.0,0.0,0.7071067811865475,0.7071067811865475,4.459016393442623,4.459016393442623
1.2020815280171306,1.2020815280171306,0.0,510.0,600.0,diagonal,-279.99905608488046,1,1.7,adiabatic_sine,1.25,0.0,0.8838834764831843,0.8838834764831843,5.573770491803279,5.573770491803279
0.901561146012848,0.901561146012848,0.0,510.0,800.0,diagonal,-280.0,1,1.275,adiabatic_sine,0.0,0.0,0.0,0.0,0.0,0.0
