x_m,x_um,slm_potential_J,slm_potential_uK,slm_force_N,aod_potential_J,aod_potential_uK,aod_force_N
-4.389840000000e-06,-4.389840000000e+00,-1.471604731282e-39,-1.065878967994e-10,1.887678957870e-32,-2.289162915328e-39,-1.658033950213e-10,2.936389490021e-32
-4.387500000000e-06,-4.387500000000e+00,-1.516433898960e-39,-1.098348601969e-10,1.944146024307e-32,-2.358897176160e-39,-1.708542269729e-10,3.024227148923e-32
-4.385160000000e-06,-4.385160000000e+00,-1.562603685744e-39,-1.131789242410e-10,2.002269611682e-32,-2.430716844491e-39,-1.760561043749e-10,3.114641618172e-32
-4.382820000000e-06,-4.382820000000e+00,-1.610153408602e-39,-1.166229366481e-10,2.062097322607e-32,-2.504683080048e-39,-1.814134570081e-10,3.207706946277e-32
-4.380480000000e-06,-4.380480000000e+00,-1.659123513987e-39,-1.201698269428e-10,2.123678097904e-32,-2.580858799536e-39,-1.869308419110e-10,3.303499263405e-32
-4.378140000000e-06,-4.378140000000e+00,-1.709555609582e-39,-1.238226087573e-10,2.187062253353e-32,-2.659308726017e-39,-1.926129469559e-10,3.402096838549e-32
-4.375800000000e-06,-4.375800000000e+00,-1.761492496914e-39,-1.275843821937e-10,2.252301517422e-32,-2.740099439644e-39,-1.984645945236e-10,3.503580138211e-32
-4.373460000000e-06,-4.373460000000e+00,-1.814978204860e-39,-1.314583362506e-10,2.319449070006e-32,-2.823299429783e-39,-2.044907452787e-10,3.608031886676e-32
-4.371120000000e-06,-4.371120000000e+00,-1.870058024077e-39,-1.354477513167e-10,2.388559582206e-32,-2.908979148564e-39,-2.106965020482e-10,3.715537127875e-32
-4.368780000000e-06,-4.368780000000e+00,-1.926778542368e-39,-1.395560017331e-10,2.459689257163e-32,-2.997211065905e-39,-2.170871138070e-10,3.826183288920e-32
-4.366440000000e-06,-4.366440000000e+00,-1.985187681023e-39,-1.437865584245e-10,2.532895871992e-32,-3.088069726035e-39,-2.236679797715e-10,3.940060245321e-32
-4.364100000000e-06,-4.364100000000e+00,-2.045334732150e-39,-1.481429916040e-10,2.608238820828e-32,-3.181631805567e-39,-2.304446536062e-10,4.057260387954e-32
-4.361760000000e-06,-4.361760000000e+00,-2.107270397031e-39,-1.526289735502e-10,2.685779159019e-32,-3.277976173159e-39,-2.374228477447e-10,4.177878691807e-32
-4.359420000000e-06,-4.359420000000e+00,-2.171046825517e-39,-1.572482814616e-10,2.765579648504e-32,-3.377183950804e-39,-2.446084378292e-10,4.302012786562e-32
-4.357080000000e-06,-4.357080000000e+00,-2.236717656510e-39,-1.620048003881e-10,2.847704804391e-32,-3.479338576794e-39,-2.520074672704e-10,4.429763029053e-32
-4.354740000000e-06,-4.354740000000e+00,-2.304338059545e-39,-1.669025262427e-10,2.932220942778e-32,-3.584525870403e-39,-2.596261519331e-10,4.561232577655e-32
-4.352400000000e-06,-4.352400000000e+00,-2.373964777498e-39,-1.719455688954e-10,3.019196229844e-32,-3.692834098330e-39,-2.674708849483e-10,4.696527468646e-32
-4.350060000000e-06,-4.350060000000e+00,-2.445656170474e-39,-1.771381553511e-10,3.108700732246e-32,-3.804354042959e-39,-2.755482416573e-10,4.835756694606e-32
-4.347720000000e-06,-4.347720000000e+00,-2.519472260873e-39,-1.824846330148e-10,3.200806468856e-32,-3.919179072469e-39,-2.838649846897e-10,4.979032284887e-32
-4.345380000000e-06,-4.345380000000e+00,-2.595474779696e-39,-1.879894730446e-10,3.295587463860e-32,-4.037405212860e-39,-2.924280691805e-10,5.126469388227e-32
-4.343040000000e-06,-4.343040000000e+00,-2.673727214102e-39,-1.936572737968e-10,3.393119801281e-32,-4.159131221937e-39,-3.012446481283e-10,5.278186357548e-32
-4.340700000000e-06,-4.340700000000e+00,-2.754294856260e-39,-1.994927643637e-10,3.493481680932e-32,-4.284458665294e-39,-3.103220778992e-10,5.434304837005e-32
-4.338360000000e-06,-4.338360000000e+00,-2.837244853529e-39,-2.055008082089e-10,3.596753475858e-32,-4.413491994378e-39,-3.196679238806e-10,5.594949851334e-32
-4.336020000000e-06,-4.336020000000e+00,-2.922646259994e-39,-2.116864068995e-10,3.703017791296e-32,-4.546338626658e-39,-3.292899662882e-10,5.760249897571e-32
-4.333680000000e-06,-4.333680000000e+00,-3.010570089413e-39,-2.180547039409e-10,3.812359525192e-32,-4.683109027976e-39,-3.391962061303e-10,5.930337039187e-32
-4.331340000000e-06,-4.331340000000e+00,-3.101089369580e-39,-2.246109887147e-10,3.924865930320e-32,-4.823916797125e-39,-3.493948713340e-10,6.105347002720e-32
-4.329000000000e-06,-4.329000000000e+00,-3.194279198178e-39,-2.313607005241e-10,4.040626678038e-32,-4.968878752722e-39,-3.598944230374e-10,6.285419276947e-32
-4.326660000000e-06,-4.326660000000e+00,-3.290216800133e-39,-2.383094327474e-10,4.159733923724e-32,-5.118115022430e-39,-3.707035620516e-10,6.470697214682e-32
-4.324320000000e-06,-4.324320000000e+00,-3.388981586523e-39,-2.454629371059e-10,4.282282373945e-32,-5.271749134591e-39,-3.818312354980e-10,6.661328137247e-32
-4.321980000000e-06,-4.321980000000e+00,-3.490655215078e-39,-2.528271280447e-10,4.408369355384e-32,-5.429908112343e-39,-3.932866436251e-10,6.857463441708e-32
-4.319640000000e-06,-4.319640000000e+00,-3.595321652317e-39,-2.604080872341e-10,4.538094885591e-32,-5.592722570271e-39,-4.050792468086e-10,7.059258710919e-32
-4.317300000000e-06,-4.317300000000e+00,-3.703067237358e-39,-2.682120681910e-10,4.671561745590e-32,-5.760326813668e-39,-4.172187727415e-10,7.266873826474e-32
-4.314960000000e-06,-4.314960000000e+00,-3.813980747453e-39,-2.762455010255e-10,4.808875554396e-32,-5.932858940483e-39,-4.297152238174e-10,7.480473084616e-32
-4.312620000000e-06,-4.312620000000e+00,-3.928153465287e-39,-2.845149973156e-10,4.950144845487e-32,-6.110460946003e-39,-4.425788847131e-10,7.700225315202e-32
-4.310280000000e-06,-4.310280000000e+00,-4.045679248091e-39,-2.930273551128e-10,5.095481145288e-32,-6.293278830364e-39,-4.558203301754e-10,7.926304003781e-32
-4.307940000000e-06,-4.307940000000e+00,-4.166654598614e-39,-3.017895640828e-10,5.244999053708e-32,-6.481462708955e-39,-4.694504330177e-10,8.158887416879e-32
